w2:4.3cm;l2:30.3cm;w1:4cm;l1:23.75cm;;;;;;;;;;;;;;;;;
0.00999117;;;;;;;;;;;;;;;;;;;;
0.0199912;;;;;;;;;;;;;;;;;;;;
0.0300007;;;;;;;;;;;;;;;;;;;;
0.0399942;;;;;;;;;;;;;;;;;;;;
0.0499833;;;;;;;;;;;;;;;;;;;;
0.0599723;;;;;;;;;;;;;;;;;;;;
0.0699916;;;;;;;;;;;;;;;;;;;;
0.0799718;;;;;;;;;;;;;;;;;;;;
0.0899725;;;;;;;;;;;;;;;;;;;;
0.0999618;;;;;;;;;;;;;;;;;;;;
0.109981;;;;;;;;;;;;;;;;;;;;
0.119972;;;;;;;;;;;;;;;;;;;;
0.129992;;;;;;;;;;;;;;;;;;;;
0.139973;;;;;;;;;;;;;;;;;;;;
0.149947;;;;;;;;;;;;;;;;;;;;
0.159991;;;;;;;;;;;;;;;;;;;;
0.169976;;;;;;;;;;;;;;;;;;;;
0.179976;;;;;;;;;;;;;;;;;;;;
0.189992;;;;;;;;;;;;;;;;;;;;
0.199974;;;;;;;;;;;;;;;;;;;;
0.209982;;;;;;;;;;;;;;;;;;;;
0.219966;;;;;;;;;;;;;;;;;;;;
0.229948;;;;;;;;;;;;;;;;;;;;
0.239976;;;;;;;;;;;;;;;;;;;;
0.249966;;;;;;;;;;;;;;;;;;;;
0.25995;;;;;;;;;;;;;;;;;;;;
0.269948;;;;;;;;;;;;;;;;;;;;
0.279963;;;;;;;;;;;;;;;;;;;;
0.289949;;;;;;;;;;;;;;;;;;;;
0.299974;;;;;;;;;;;;;;;;;;;;
0.309955;;;;;;;;;;;;;;;;;;;;
0.319949;;;;;;;;;;;;;;;;;;;;
0.329948;;;;;;;;;;;;;;;;;;;;
0.339955;;;;;;;;;;;;;;;;;;;;
0.349951;;;;;;;;;;;;;;;;;;;;
0.359975;;;;;;;;;;;;;;;;;;;;
0.369965;;;;;;;;;;;;;;;;;;;;
0.379979;;;;;;;;;;;;;;;;;;;;
0.389949;;;;;;;;;;;;;;;;;;;;
0.399954;;;;;;;;;;;;;;;;;;;;
0.419991;;;;;;;;;;;;;;;;;;;;
0.429968;;;;;;;;;;;;;;;;;;;;
0.439994;;;;;;;;;;;;;;;;;;;;
0.449986;;;;;;;;;;;;;;;;;;;;
0.459965;;;;;;;;;;;;;;;;;;;;
0.469994;;;;;;;;;;;;;;;;;;;;
0.479948;;;;;;;;;;;;;;;;;;;;
0.489998;;;;;;;;;;;;;;;;;;;;
0.500001;;;;;;;;;;;;;;;;;;;;
0.51;;;;;;;;;;;;;;;;;;;;
0.519995;;;;;;;;;;;;;;;;;;;;
0.530002;;;;;;;;;;;;;;;;;;;;
0.539987;;;;;;;;;;;;;;;;;;;;
0.549995;;;;;;;;;;;;;;;;;;;;
0.559981;;;;;;;;;;;;;;;;;;;;
0.569988;;;;;;;;;;;;;;;;;;;;
0.579964;;;;;;;;;;;;;;;;;;;;
0.59001;;;;;;;;;;;;;;;;;;;;
0.600002;;;;;;;;;;;;;;;;;;;;
0.610001;;;;;;;;;;;;;;;;;;;;
0.619963;;;;;;;;;;;;;;;;;;;;
0.629973;;;;;;;;;;;;;;;;;;;;
0.639948;;;;;;;;;;;;;;;;;;;;
0.649989;;;;;;;;;;;;;;;;;;;;
0.660004;;;;;;;;;;;;;;;;;;;;
0.670002;;;;;;;;;;;;;;;;;;;;
0.67999;;;;;;;;;;;;;;;;;;;;
0.689988;;;;;;;;;;;;;;;;;;;;
0.700004;;;;;;;;;;;;;;;;;;;;
0.71008;;;;;;;;;;;;;;;;;;;;
0.719997;;;;;;;;;;;;;;;;;;;;
0.730001;;;;;;;;;;;;;;;;;;;;
0.740007;;;;;;;;;;;;;;;;;;;;
0.749969;;;;;;;;;;;;;;;;;;;;
0.759958;;;;;;;;;;;;;;;;;;;;
0.770009;;;;;;;;;;;;;;;;;;;;
0.779971;;;;;;;;;;;;;;;;;;;;
0.789957;;;;;;;;;;;;;;;;;;;;
0.800014;;;;;;;;;;;;;;;;;;;;
0.809958;;;;;;;;;;;;;;;;;;;;
0.820012;;;;;;;;;;;;;;;;;;;;
0.829985;;;;;;;;;;;;;;;;;;;;
0.840058;;;;;;;;;;;;;;;;;;;;
0.850058;;;;;;;;;;;;;;;;;;;;
0.859992;;;;;;;;;;;;;;;;;;;;
0.870018;;;;;;;;;;;;;;;;;;;;
0.88001;;;;;;;;;;;;;;;;;;;;
0.900006;;;;;;;;;;;;;;;;;;;;
0.910049;;;;;;;;;;;;;;;;;;;;
0.919992;;;;;;;;;;;;;;;;;;;;
0.930028;;;;;;;;;;;;;;;;;;;;
0.939981;;;;;;;;;;;;;;;;;;;;
0.949995;;;;;;;;;;;;;;;;;;;;
0.959971;;;;;;;;;;;;;;;;;;;;
0.970058;;;;;;;;;;;;;;;;;;;;
0.97997;;;;;;;;;;;;;;;;;;;;
0.989996;;;;;;;;;;;;;;;;;;;;
1.00005;;;;;;;;;;;;;;;;;;;;
1.00995;;;;;;;;;;;;;;;;;;;;
1.02001;;;;;;;;;;;;;;;;;;;;
1.02999;;;;;;;;;;;;;;;;;;;;
1.03998;;;;;;;;;;;;;;;;;;;;
1.05;;;;;;;;;;;;;;;;;;;;
1.05997;;;;;;;;;;;;;;;;;;;;
1.07;;;;;;;;;;;;;;;;;;;;
1.08014;;;;;;;;;;;;;;;;;;;;
1.08999;;;;;;;;;;;;;;;;;;;;
1.09999;;;;;;;;;;;;;;;;;;;;
1.10995;;;;;;;;;;;;;;;;;;;;
1.12015;;;;;;;;;;;;;;;;;;;;
1.12997;;;;;;;;;;;;;;;;;;;;
1.13997;;;;;;;;;;;;;;;;;;;;
1.15004;;;;;;;;;;;;;;;;;;;;
1.16006;;;;;;;;;;;;;;;;;;;;
1.16997;;;;;;;;;;;;;;;;;;;;
1.17998;;;;;;;;;;;;;;;;;;;;
1.19003;;;;;;;;;;;;;;;;;;;;
1.20005;;;;;;;;;;;;;;;;;;;;
1.20998;;;;;;;;;;;;;;;;;;;;
1.22003;;;;;;;;;;;;;;;;;;;;
1.22998;;;;;;;;;;;;;;;;;;;;
1.24004;;;;;;;;;;;;;;;;;;;;
