arm:;w:-3cm;l:31cm;base:;Rotx(55)rotz(-25);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0100012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0199866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0299911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0399835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0499802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0599241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0699866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0799699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0899603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.0999725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.110058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.119945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.129986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.139981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.14998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.159987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.169982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.17998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.189989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.19998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.20998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.219986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.229981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.23998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.249985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.259973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.269979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.279984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.289979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.299978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.309974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.319963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.339986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.34998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.359972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.369974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.379981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.39003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.399957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.410022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.419981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.429956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.439981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.44998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.45995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.469983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.47998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
